"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1013","858","2037","3908"
"CMCF","943","1049","1129","3121"
"SMCI","957","826","1135","2918"
"County Jails (approved)","601","324","46","971"
"County Jails (unapproved)","92","106","41","239"
"Private Prisons","1014","1240","3280","5534"
"Regional Correctional Facilities","688","589","1644","2921"
"Community Work Centers","1031","550","5","1586"
"Community Trusties","7","4","6","17"
"Pending File Review","51","29","7","87"
"Court Order","109","103","46","258"
"TOTAL CUSTODY POPULATION","6506","5678","9376","21560"
"Intensive Supervison Program","547","719","30","1296"
"Earned Release Supervision","469","560","454","1483"
"Medical Release","20","8","7","35"
"Other Custody","141","125","87","353"
"At Large","12","28","8","48"
"Off-Grounds Medical (Hospital)","0","2","7","9"
