"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1182","1221","2290","4693"
"CMCF","1048","1187","911","3146"
"SMCI","715","614","834","2163"
"County Jails (approved)","737","702","206","1645"
"County Jails (unapproved)","115","142","46","303"
"Private Prisons","962","1298","2422","4682"
"Regional Correctional Facilities","910","639","1185","2734"
"Community Work Centers","1023","697","0","1720"
"Community Trusties","7","6","5","18"
"Pending File Review","62","104","19","185"
"CUSTODY POPULATION","6761","6610","7918","21289"
"Intensive Supervison Program","432","806","20","1258"
"Earned Release Supervision","648","656","262","1566"
"Medical Release","2","1","0","3"
"Other Custody/At Large","108","139","81","328"
"Off-Grounds Medical (Hospital)","2","5","2","9"
"TOTAL","7953","8217","8283","24453"
"% of Total Offenses","32.52%","33.60%","33.87%","100.00%"
