"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1300","1790","2571","5661"
"CMCF","977","1227","926","3130"
"SMCI","644","774","678","2096"
"County Jails (approved)","791","868","273","1932"
"County Jails (unapproved)","88","121","46","255"
"Private Prisons","691","1158","1594","3443"
"Regional Correctional Facilities","925","747","1066","2738"
"Community Work Centers","868","734","4","1606"
"Community Trusties","10","8","5","23"
"CUSTODY POPULATION","6294","7427","7163","20884"
"Intensive Supervison Program","436","807","34","1277"
"Earned Release Supervision","533","517","206","1256"
"Medical Release","0","0","0","0"
"Other Custody/At Large","79","114","69","262"
"TOTAL","7342","8865","7472","23679"
"% of Total Offenses","31.01%","37.44%","31.56%","100.00%"
