"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","603","597","177","1442","560","3379"
"CMCF","806","967","159","1140","352","3424"
"SMCI","504","605","189","1137","543","2978"
"County Jails (approved)","417","253","19","112","5","806"
"Youthful Offender Facility","0","1","4","27","4","36"
"County Jails (unapproved)","116","143","9","68","16","352"
"Private Prisons","274","359","215","1650","562","3060"
"Regional Correctional Facilities","639","747","314","1477","766","3943"
"Community Work Centers","481","251","0","73","0","805"
"Community Trusties","26","10","0","2","0","38"
"Pending File Review","49","46","2","14","3","114"
"Court Order","67","87","8","50","10","222"
"TVC","2","14","0","3","1","20"
"TOTAL CUSTODY POPULATION","3984","4080","1096","7195","2822","19177"
"% OF TOTAL_offenses","20.77%","21.28%","5.72%","37.52%","14.72%","100.00%"
"Intensive Supervison Program","301","350","11","56","6","724"
"Earned Release Supervision","172","42","126","292","5","637"
"Medical Release","6","4","0","2","0","12"
"Other Custody","180","218","14","91","23","526"
"At Large","8","14","0","6","0","28"
"Transitional Housing","0","2","0","0","0","2"
"Conditional Release","0","0","0","2","0","2"
"RRP","2","10","0","4","0","16"
"Off-Grounds Medical (Hospital)","1","1","0","2","0","4"
"TOTAL","4654","4721","1247","7650","2856","21128"
"% OF TOTAL_offenses","22.03%","22.35%","5.90%","36.21%","13.52%","100.00%"
