"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1209","923","2049","4181"
"CMCF","1276","1155","1179","3610"
"SMCI","1139","846","1121","3106"
"County Jails (approved)","829","503","139","1471"
"County Jails (unapproved)","100","109","42","251"
"Private Prisons","984","1037","2819","4840"
"Regional Correctional Facilities","1032","542","1507","3081"
"Community Work Centers","1221","558","1","1780"
"Community Trusties","6","4","6","16"
"Pending File Review","58","53","9","120"
"Court Order","161","140","72","373"
"TOTAL CUSTODY POPULATION","8015","5870","8944","22829"
"Intensive Supervison Program","490","676","36","1202"
"Earned Release Supervision","802","610","420","1832"
"Medical Release","19","10","6","35"
"Other Custody","121","116","77","314"
"At Large","17","31","11","59"
"Off-Grounds Medical (Hospital)","1","0","2","3"
