"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","628","529","186","1394","532","3269"
"CMCF","570","721","146","795","261","2493"
"SMCI","490","554","160","1037","491","2732"
"County Jails (approved)","418","240","14","51","7","730"
"Youthful Offender Facility","0","2","4","17","6","29"
"County Jails (unapproved)","96","144","13","44","9","306"
"Private Prisons","500","555","272","1927","678","3932"
"Regional Correctional Facilities","712","751","287","1423","783","3956"
"Community Work Centers","623","279","1","38","0","941"
"Community Trusties","13","3","0","0","0","16"
"Pending File Review","35","3","6","15","1","90"
"Court Order","73","95","18","59","12","257"
"TOTAL CUSTODY POPULATION","4158","3906","1107","6800","2780","18751"
"% OF TOTAL_offenses","22.17%","20.83%","5.90%","36.26%","14.83%","100.00%"
"Intensive Supervison Program","354","390","6","55","5","810"
"Earned Release Supervision","263","58","139","371","3","834"
"Medical Release","6","4","0","2","0","12"
"Other Custody","182","216","17","86","26","527"
"At Large","6","14","0","6","0","26"
"Off-Grounds Medical (Hospital)","2","4","0","4","0","10"
"Conditional Release","0","0","0","2","0","2"
"TOTAL","4971","4592","1269","7326","2814","20972"
"% OF TOTAL_offenses","23.70%","21.90%","6.05%","34.93%","13.42%","100.00%"
