"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","683","648","181","499","1223","3234"
"CMCF","562","614","113","686","258","2233"
"SMCI","573","717","166","1062","546","3064"
"County Jails (approved)","615","453","32","120","57","1277"
"Youthful Offender Facility","1","5","5","19","3","33"
"County Jails (unapproved)","35","57","5","16","6","119"
"Private Prisons","468","764","268","1906","641","4047"
"Regional Correctional Facilities","786","932","364","1381","842","4305"
"Community Work Centers","675","414","0","3","0","1092"
"Community Trusties","6","1","0","0","0","7"
"Pending File Review","76","72","4","8","0","160"
"Court Order","67","85","12","38","14","216"
"TOTAL CUSTODY POPULATION","4547","4762","1150","5738","3590","19787"
"% OF TOTAL_offenses","22.98%","24.07%","5.81%","29.00%","18.14%","100.00%"
"Intensive Supervison Program","627","794","14","54","4","1493"
"TVC","1","6","1","0","0","8"
"Earned Release Supervision","381","335","184","379","4","1283"
"Medical Release","11","6","0","3","0","20"
"Other Custody","181","191","16","74","9","491"
"At Large","6","16","0","7","0","29"
"Off-Grounds Medical (Hospital)","0","4","0","2","2","8"
"TOTAL","5754","6114","1365","6257","3629","23119"
"% OF TOTAL_offenses","24.89%","26.45%","5.90%","27.07%","15.70%","100.00%"
