"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,144","1,627","2,272","5,043"
"CMCF","967","1,276","910","3,153"
"SMCI","663","753","751","2,167"
"County Jails (approved)","775","864","256","1,895"
"County Jails (unapproved)","109","115","49","273"
"Private Prisons","885","1,412","1,878","4,175"
"Regional Correctional Facilities","895","785","1,062","2,742"
"Community Work Centers","957","790","7","1,754"
"Community Trusties","13","6","5","24"
"CUSTODY POPULATION","6,408","7,628","7,190","21,226"
"Intensive Supervison Program","454","811","36","1,301"
"Earned Release Supervision","544","555","198","1,297"
"Medical Release","0","0","0","0"
"Other Custody/At Large","12","25","0 7","44"
"TOTAL","7,418","9,019","7,431","23,868"
"% of Total Offenses","31.08%","37.79%","31.13%","100.00%"
