"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","841","694","1,596","493","3,624"
"CMCF","918","944","1,034","330","3,226"
"SMCI","917","806","986","397","3,106"
"County Jails (approved)","599","393","40","19","1,051"
"County Jails (unapproved)","142","139","46","13","340"
"Private Prisons","794","1,091","2,642","770","5,297"
"Regional Correctional Facilities","527","451","1,045","502","2,525"
"Community Work Centers","1,014","571","9","0","1,594"
"Community Trusties","7","1","6","0","14"
"Pending File Review","59","47","6","3","115"
"Court Order","94","100","43","5","252"
"TOTAL CUSTODY POPULATION","5,912","5,237","7,453","2,542","21,144"
"Intensive Supervison Program","737","721","44","4","1,506"
"Earned Release Supervision","376","519","564","6","1,465"
"Medical Release","24","12","7","0","43"
"Other Custody","140","121","80","2","353"
"At Large","11","23","8","0","42"
"Off-Grounds Medical (Hospital)","1","1","9","0","11"
"TOTAL","7,201","6,634","8,165","2,564","24,564"
"% OF TOTAL_offenses","29.32%","27.01%","33.24%","10.44%","100.00%"
