"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","583","577","188","1459","556","3363"
"CMCF","769","951","153","1110","337","3320"
"SMCI","514","588","195","1210","549","3056"
"County Jails (approved)","373","245","15","103","7","743"
"Youthful Offender Facility","0","1","2","16","4","23"
"County Jails (unapproved)","88","120","16","41","13","278"
"Private Prisons","266","396","223","1643","569","3097"
"Regional Correctional Facilities","581","699","320","1395","779","3774"
"Community Work Centers","447","250","0","88","0","785"
"Community Trusties","21","13","0","4","0","38"
"Pending File Review","39","37","4","9","0","89"
"Court Order","60","82","7","51","13","213"
"TVC","0","0","0","0","0","0"
"TOTAL CUSTODY POPULATION","3741","3959","1123","7129","2827","18779"
"% OF TOTAL_offenses","19.92%","21.08%","5.98%","37.96%","15.05%","100.00%"
"Intensive Supervison Program","282","376","14","54","6","732"
"Earned Release Supervision","109","40","112","284","6","551"
"Medical Release","5","4","0","2","0","11"
"Other Custody","171","213","14","83","25","506"
"At Large","7","15","0","6","0","28"
"Transitional Housing","1","0","0","0","0","1"
"Conditional Release","0","0","0","2","0","2"
"RRP","11","27","0","14","0","52"
"FTR- Monitoring","3","0","0","0","0","3"
"Off-Grounds Medical (Hospital)","1","4","1","3","0","9"
"TOTAL","4331","4638","1264","7577","2864","20674"
"% OF TOTAL_offenses","20.95%","22.43%","6.11%","36.65%","13.85%","100.00%"
