"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","408","367","570","1,905","3,250"
"CMCF","1045","928","313","1,398","3,684"
"SMCI","532","498","541","1,467","3,038"
"Youthful Offender Facility","0","9","3","24","36"
"County Jails (approved)","376","174","5","150","705"
"County Jails (unapproved)","149","184","16","100","449"
"Private Prisons","266","276","568","2,108","3,218"
"Regional Correctional Facilities","561","460","797","1,834","3,652"
"Community Work Centers","354","148","0","140","642"
"Community Trusties","5","0","0","0","5"
"Pending File Review","58","64","4","38","164"
"Court Order","82","66","4","74","226"
"Transitional Housing","4","7","2","10","23"
"RRP","38","44","0","16","98"
"TVC","27","8","0","9","44"
"TOTAL CUSTODY POPULATION","3,905","3,233","2,823","9,273","19,234"
"% OF TOTAL_offenses","20.30%","16.81%","14.68%","48.21%","100.00%"
"Intensive Supervison Program","300","374","7","68","749"
"Earned Release Supervision","68","39","8","473","588"
"Medical Release","11","1","0","3","15"
"Other Custody","142","159","27","117","445"
"At Large","7","12","0","7","26"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","4","1","3","4","12"
"TOTAL","4,439","3,822","2,870","9,947","21,078"
"% OF TOTAL_offenses","21.06%","18.13%","13.62%","47.19%","100.00%"
