"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1436","1313","2936","5685"
"CMCF","1054","1147","973","3174"
"SMCI","710","739","714","2163"
"County Jails (approved)","814","717","261","1792"
"County Jails (unapproved)","80","94","52","226"
"Private Prisons","631","887","1885","3403"
"Regional Correctional Facilities","867","600","1129","2596"
"Community Work Centers","776","663","11","1450"
"Community Trusties","10","10","5","25"
"CUSTODY POPULATION","6378","6170","7966","20514"
"Intensive Supervison Program","466","887","37","1390"
"Earned Release Supervision","470","511","225","1206"
"Medical Release","0","0","0","0"
"Other Custody","57","81","67","205"
"At Large","49","81","23","153"
"University of MS Medical Center","4","1","1","6"
"TOTAL","7424","7731","8319","23474"
"% of Total Offenses","31.63%","32.93%","35.44%","100.00%"
