"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","763","768","157","1187","482","3357"
"CMCF","908","1059","145","788","320","3220"
"SMCI","631","777","176","1049","554","3187"
"County Jails (approved)","733","638","31","81","38","1521"
"Youthful Offender Facility","1","7","2","22","5","37"
"County Jails (unapproved)","39","71","5","12","8","135"
"Private Prisons","518","905","297","2047","620","4387"
"Regional Correctional Facilities","956","1087","332","1230","809","4414"
"Community Work Centers","797","542","1","4","0","1344"
"Community Trusties","10","3","0","0","0","13"
"Pending File Review","40","35","1","3","3","82"
"Court Order","113","121","15","47","15","311"
"TOTAL CUSTODY POPULATION","5509","6013","1162","6470","2854","22008"
"% OF TOTAL_offenses","25.03%","27.32%","5.28%","29.40%","12.97%","100.00%"
"Intensive Supervison Program","698","791","12","42","6","1549"
"Earned Release Supervision","509","572","194","368","8","1651"
"Medical Release","12","7","0","3","0","22"
"Other Custody","204","175","10","72","5","486"
"At Large","6","18","0","7","0","31"
"Off-Grounds Medical (Hospital)","0","4","1","7","1","13"
"TOTAL","6938","7580","1379","6969","2894","25760"
"% OF TOTAL_offenses","26.93%","29.43%","5.35%","27.05%","11.23%","100.00%"
