"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1298","1531","2480","5309"
"CMCF","990","1130","863","2983"
"SMCI","582","722","707","2011"
"County Jails (approved)","517","581","221","1319"
"County Jails (unapproved)","43","65","22","130"
"Private Prisons","771","708","1737","3216"
"Regional Correctional Facilities","725","530","732","1987"
"Community Work Centers","590","641","45","1276"
"Community Trusties","10","9","5","24"
"CUSTODY POPULATION","5526","5917","6812","18255"
"Intensive Supervison Program","319","850","34","1203"
"Earned Release Supervision","343","474","119","936"
"Medical Release","0","1","1","2"
"Other Custody","50","88","63","201"
"At Large","20","40","10","70"
"University of MS Medical Center","1","1","3","5"
"TOTAL","6259","7371","7042","20672"
"% of Total Offenses","30.28%","35.66%","34.07%","100.00%"
