"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1283","1120","2057","4460"
"CMCF","1107","1087","1013","3207"
"SMCI","678","560","774","2012"
"County Jails (approved)","712","485","146","1343"
"County Jails (unapproved)","43","49","20","112"
"Private Prisons","1024","1066","2742","4832"
"Regional Correctional Facilities","879","582","1574","3035"
"Community Work Centers","1144","639","4","1787"
"Community Trusties","10","5","6","21"
"Pending File Review","20","16","10","46"
"Court Order","124","142","47","313"
"TOTAL CUSTODY POPULATION","7024","5751","8393","21168"
"Intensive Supervison Program","576","951","38","1565"
"Earned Release Supervision","741","624","326","1691"
"Medical Release","4","2","3","9"
"Other Custody","123","106","69","298"
"At Large","34","72","25","131"
"Off-Grounds Medical (Hospital)","4","3","2","9"
