"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","767","615","1,380","474","3,236"
"CMCF","946","943","943","312","3,144"
"SMCI","855","800","1,109","421","3,185"
"County Jails (approved)","656","416","38","21","1,131"
"County Jails (unapproved)","93","118","24","17","252"
"Private Prisons","688","1,130","2,620","804","5,242"
"Regional Correctional Facilities","659","622","1,147","582","3,010"
"Community Work Centers","925","481","4","0","1,410"
"Community Trusties","5","4","5","0","14"
"Pending File Review","59","51","12","2","124"
"Court Order","130","113","43","20","306"
"TOTAL CUSTODY POPULATION","5,783","5,293","7,325","2,653","21,054"
"Intensive Supervison Program","852","732","41","8","1,633"
"Earned Release Supervision","384","461","607","3","1,455"
"Medical Release","21","12","6","0","39"
"Other Custody","145","133","89","13","380"
"At Large","9","22","8","0","39"
"Off-Grounds Medical (Hospital)","4","4","4","1","13"
"TOTAL","7,198","6,657","8,080","2,678","24,613"
"% OF TOTAL_offenses","29.24%","27.05%","32.83%","10.88%","100.00%"
