"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,284","1,095","2,127","4,506"
"CMCF","1,194","1,159","1,000","3,353"
"SMCI","739","642","869","2,250"
"County Jails (approved)","740","519","137","1,396"
"County Jails (unapproved)","29","39","30","98"
"Private Prisons","1,054","1,119","2,665","4,838"
"Regional Correctional Facilities","939","574","1,555","3,068"
"Community Work Centers","1,162","591","3","1,756"
"Community Trusties","8","84","5","17"
"Pending File Review","12","8","14","34"
"Court Order","121","133","56","310"
"TOTAL CUSTODY POPULATION","7,282","5,883","8,461","21,626"
"Intensive Supervison Program","564","910","37","1,511"
"Earned Release Supervision","737","614","339","1,690"
"Medical Release","4","2","2","8"
"Other Custody","122","98","73","293"
"At Large","30","58","23","111"
"Off-Grounds Medical (Hospital)","4","3","5","12"
