"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","AGGREVATED ASSAULT_offenses","total"
"MSP","487","458","1625","570","197","3337"
"CMCF","891","949","1167","327","146","3480"
"SMCI","428","475","1098","468","148","2617"
"County Jails (approved)","355","198","112","9","13","687"
"Youthful Offender Facility","0","2","16","6","2","26"
"County Jails (unapproved)","111","122","70","11","11","325"
"Private Prisons","262","348","1740","563","201","3114"
"Regional Correctional Facilities","692","688","1654","860","323","4217"
"Community Work Centers","396","174","99","0","0","669"
"Community Trusties","17","12","8","0","0","37"
"Pending File Review","45","46","15","0","2","108"
"Court Order","78","81","47","9","12","227"
"Transitional Housing","11","16","8","0","2","37"
"RRP","31","54","18","1","1","105"
"TVC","7","7","5","0","3","22"
"TOTAL CUSTODY POPULATION","3811","3630","7682","2824","1061","19008"
"% OF TOTAL_offenses","20.05%","19.10%","40.41%","14.86%","5.58%","100.00%"
"Intensive Supervison Program","330","284","65","3","11","693"
"Earned Release Supervision","106","34","344","4","123","611"
"Medical Release","7","3","2","0","0","12"
"Other Custody","153","185","80","29","9","456"
"At Large","8","16","6","0","0","30"
"Conditional Release","0","0","2","1","0","3"
"FTR- Monitoring","3","3","0","0","0","6"
"Off-Grounds Medical (Hospital)","2","3","1","0","0","6"
"TOTAL","4420","4158","8182","2861","1204","20825"
"% OF TOTAL_offenses","21.23%","19.97%","39.29%","13.74%","5.78%","100.00%"
