"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1286","1437","2537","5260"
"CMCF","1024","1037","834","2895"
"SMCI","644","725","704","2073"
"County Jails (approved)","675","657","240","1572"
"County Jails (unapproved)","42","53","21","116"
"Private Prisons","905","893","1834","3632"
"Regional Correctional Facilities","766","522","734","2022"
"Community Work Centers","626","639","36","1301"
"Community Trusties","10","8","4","22"
"CUSTODY POPULATION","5978","5971","6944","18893"
"Intensive Supervison Program","316","980","23","1319"
"Earned Release Supervision","390","512","140","1042"
"Medical Release","0","1","0","1"
"Other Custody","52","84","66","202"
"At Large","20","51","39","80"
"University of MS Medical Center","2","1","3","6"
"TOTAL","6758","7600","7185","21543"
"% of Total Offenses","31.37%","35.28%","33.35%","100.00%"
