"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","774","751","169","1193","467","3354"
"CMCF","899","1110","161","784","344","3298"
"SMCI","723","812","191","1006","516","3248"
"Youthful Offender Facility","0","4","1","13","5","23"
"County Jails (approved)","767","632","17","52","37","1505"
"County Jails (unapproved)","83","136","5","21","9","254"
"Private Prisons","482","880","268","2089","624","4343"
"Regional Correctional Facilities","960","1117","302","1180","790","4349"
"Community Work Centers","904","568","0","4","0","1476"
"Community Trusties","7","3","0","0","0","10"
"Pending File Review","21","23","4","11","4","63"
"Court Order","149","183","10","57","23","422"
"TOTAL CUSTODY POPULATION","5769","6219","1128","6410","2819","22345"
"% OF TOTAL_offenses","25.82%","27.83%","5.05%","28.69%","12.62%","100.00%"
"Intensive Supervison Program","794","789","18","49","7","1657"
"Earned Release Supervision","507","513","186","392","4","1602"
"Medical Release","12","8","2","6","0","28"
"Other Custody","193","167","13","66","19","458"
"At Large","7","20","0","7","0","34"
"Off-Grounds Medical (Hospital)","1","72","0","3","0","11"
"TOTAL","7283","7723","1347","6933","2849","26135"
"% OF TOTAL_offenses","27.87%","29.55%","5.15%","26.53%","10.90%","100.00%"
