"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,264","1,504","2,450","5,218"
"CMCF","1,008","1,168","850","3,026"
"SMCI","557","679","673","1,909"
"County Jails (approved)","486","561","213","1,260"
"County Jails (unapproved)","41","44","19","104"
"Private Prisons","868","781","1,819","3,468"
"Regional Correctional Facilities","735","546","754","2,035"
"Community Work Centers","595","645","49","1,289"
"Community Trusties","9","10","5","24"
"CUSTODY POPULATION","5,563","5,938","6,832","18,333"
"Intensive Supervison Program","311","865","27","1,203"
"Earned Release Supervision","343","463","116","922"
"Medical Release","0","1","0","1"
"Other Custody","53","88","63","204"
"At Large","19","43","10","72"
"University of MS Medical Center","1","4","3","8"
"TOTAL","6,290","7,402","7,051","20,743"
"% of Total Offenses","30.32%","35.68%","33.99%","100.00%"
