"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","697","639","1,305","460","3,101"
"CMCF","934","971","963","317","3,185"
"SMCI","831","800","1,070","430","3,131"
"County Jails (approved)","771","505","39","20","1,335"
"County Jails (unapproved)","93","114","24","7","238"
"Private Prisons","686","1,024","2,640","802","5,152"
"Regional Correctional Facilities","709","681","1,283","632","3,305"
"Community Work Centers","948","609","6","0","1,563"
"Community Trusties","6","8","5","0","19"
"Pending File Review","33","31","6","2","72"
"Court Order","112","92","40","12","256"
"TOTAL CUSTODY POPULATION","5,820","5,474","7,381","2,682","21,357"
"Intensive Supervison Program","812","719","40","6","1,577"
"Earned Release Supervision","371","451","571","5","1,398"
"Medical Release","20","10","6","0","36"
"Other Custody","154","136","91","13","394"
"At Large","","","","",""
"Off-Grounds Medical (Hospital)","","","","",""
"Conditional Release","","","","",""
"TOTAL","","","","",""
"% OF TOTAL_offenses","","","","","100.00%"
