"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","802","694","1330","472","3298"
"CMCF","836","965","960","299","3060"
"SMCI","764","821","1115","467","3167"
"County Jails (approved)","654","502","40","29","1225"
"County Jails (unapproved)","152","229","55","20","456"
"Private Prisons","438","831","2359","663","4291"
"Regional Correctional Facilities","933","1044","1525","769","4271"
"Community Work Centers","965","591","5","0","1561"
"Community Trusties","8","4","0","0","12"
"Pending File Review","16","15","11","3","45"
"Court Order","152","189","84","18","443"
"TOTAL  CUSTODY POPULATION","5720","5885","7484","2740","21829"
"Intensive Supervison Program","799","724","49","9","1581"
"Earned Release Supervision","462","559","592","4","1617"
"Medical Release","12","7","6","0","25"
"Other Custody","194","150","76","17","437"
"At Large","7","22","7","0","36"
"Off-Grounds Medical (Hospital)","1","3","3","1","8"
"TOTAL","7195","7350","8217","2771","25533"
"% OF TOTAL_offenses","28.18%","28.79%","32.18%","10.85%","100.00%"
