"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","778","769","155","1204","470","3376"
"CMCF","903","1089","183","791","341","3307"
"SMCI","701","825","180","973","503","3182"
"County Jails (approved)","743","613","17","54","33","1460"
"County Jails (unapproved)","132","213","18","57","24","444"
"Private Prisons","434","855","265","2078","635","4267"
"Regional Correctional Facilities","988","1068","301","1205","785","4347"
"Community Work Centers","921","564","1","4","0","1490"
"Community Trusties","9","4","0","0","0","13"
"Pending File Review","11","5","1","3","0","20"
"Court Order","121","157","5","38","18","339"
"TOTAL CUSTODY POPULATION","5741","6162","1126","6407","2809","22245"
"% OF TOTAL_offenses","25.81%","27.70%","5.06%","28.80%","12.63%","100.00%"
"Intensive Supervison Program","809","772","19","46","8","1654"
"Earned Release Supervision","508","512","196","410","2","1628"
"Medical Release","12","7","3","3","0","25"
"Other Custody","197","162","12","59","19","449"
"At Large","7","20","0","7","0","34"
"Off-Grounds Medical (Hospital)","3","42","1","3","1","12"
"TOTAL","7277","7639","1357","6935","2839","26047"
"% OF TOTAL_offenses","27.94%","29.33%","5.21%","26.63%","10.90%","100.00%"
