"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1294","1093","2042","4429"
"CMCF","1165","1125","1002","3292"
"SMCI","668","554","767","1989"
"County Jails (approved)","636","442","126","1204"
"County Jails (unapproved)","63","75","25","163"
"Private Prisons","1040","1080","2743","4863"
"Regional Correctional Facilities","875","566","1583","3024"
"Community Work Centers","1116","655","5","1776"
"Community Trusties","7","4","5","16"
"Pending File Review","10","17","4","31"
"Court Order","116","140","51","307"
"TOTAL CUSTODY POPULATION","6990","5751","8353","21094"
"Intensive Supervison Program","582","922","38","1542"
"Earned Release Supervision","735","636","334","1705"
"Medical Release","4","2","3","9"
"Other Custody","121","119","71","311"
"At Large","29","75","20","124"
"Off-Grounds Medical (Hospital)","2","4","1","7"
