"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","768","752","167","1188","451","3326"
"CMCF","929","1062","174","796","344","3305"
"SMCI","642","808","171","1039","538","3198"
"County Jails (approved)","735","642","21","60","26","1484"
"Youthful Offender Facility","0","7","3","26","8","44"
"County Jails (unapproved)","104","104","12","29","12","261"
"Private Prisons","522","905","294","2063","620","4404"
"Regional Correctional Facilities","943","1088","326","1230","810","4397"
"Community Work Centers","820","543","4","3","0","1370"
"Community Trusties","9","4","0","0","0","13"
"Pending File Review","20","17","2","4","0","43"
"Court Order","114","151","12","53","15","345"
"TOTAL CUSTODY POPULATION","5606","6083","1186","6491","2824","22190"
"% OF TOTAL_offenses","25.26%","27.41%","5.34%","29.25%","12.73%","100.00%"
"Intensive Supervison Program","691","795","14","44","7","1551"
"Earned Release Supervision","509","571","200","383","8","1671"
"Medical Release","13","8","2","5","0","28"
"Other Custody","205","175","12","75","6","493"
"At Large","8","19","0","8","0","35"
"Off-Grounds Medical (Hospital)","0","3","2","3","4","12"
"TOTAL","7032","7654","1416","7009","2869","25980"
"% OF TOTAL_offenses","27.07%","29.46%","5.45%","26.98%","11.04%","100.00%"
