"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1304","1089","2080","4473"
"CMCF","1105","1034","944","3083"
"SMCI","652","551","717","1920"
"County Jails (approved)","680","476","132","1288"
"County Jails (unapproved)","67","66","14","147"
"Private Prisons","1040","1091","2758","4889"
"Regional Correctional Facilities","874","585","1579","3038"
"Community Work Centers","1095","657","2","1754"
"Community Trusties","11","4","5","20"
"Pending File Review","5","12","5","22"
"Court Order","129","148","64","341"
"TOTAL CUSTODY POPULATION","6962","5713","8300","20975"
"Intensive Supervison Program","602","922","41","1565"
"Earned Release Supervision","704","633","330","1667"
"Medical Release","4","2","3","9"
"Other Custody","120","125","73","318"
"At Large","34","77","20","131"
"Off-Grounds Medical (Hospital)","0","6","1","7"
