"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","572","549","180","1516","564","3381"
"CMCF","730","896","131","1185","333","3275"
"SMCI","483","514","187","1310","539","3033"
"County Jails (approved)","353","215","12","96","6","682"
"Youthful Offender Facility","0","1","2","19","6","28"
"County Jails (unapproved)","113","143","13","52","9","330"
"Private Prisons","266","337","196","1688","572","3059"
"Regional Correctional Facilities","601","644","303","1488","791","3827"
"Community Work Centers","411","203","0","97","0","711"
"Community Trusties","22","13","0","10","0","45"
"Pending File Review","24","24","7","1","0","56"
"Court Order","83","84","14","57","6","244"
"Transitional Housing","0","0","0","0","0","0"
"TVC","4","1","0","0","0","5"
"TOTAL CUSTODY POPULATION","3662","3624","1045","7519","2826","18676"
"% OF TOTAL_offenses","19.61%","19.40%","5.60%","40.26%","15.13%","100.00%"
"Intensive Supervison Program","321","333","13","72","4","743"
"Earned Release Supervision","125","45","141","349","6","666"
"Medical Release","7","3","0","2","0","12"
"Other Custody","155","194","10","83","28","470"
"At Large","8","16","0","6","0","30"
"Conditional Release","0","0","0","2","1","3"
"FTR- Monitoring","4","2","0","0","0","6"
"Off-Grounds Medical (Hospital)","1","3","0","5","2","11"
"TOTAL","4283","4220","1209","8038","2867","20617"
"% OF TOTAL_offenses","20.78%","20.47%","5.86%","38.99%","13.91%","100.00%"
