"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","372","391","552","1897","3212"
"CMCF","960","937","350","1421","3668"
"SMCI","468","411","486","1278","2643"
"Youthful Offender Facility","0","7","2","18","27"
"County Jails (approved)","377","167","6","165","715"
"County Jails (unapproved)","123","143","21","83","370"
"Private Prisons","255","247","546","2132","3180"
"Regional Correctional Facilities","728","560","850","2140","4278"
"Community Work Centers","379","134","0","106","619"
"Community Trusties","6","0","0","1","7"
"Pending File Review","49","42","7","41","139"
"Court Order","92","87","14","91","284"
"Transitional Housing","8","8","1","8","25"
"RRP","23","35","0","9","67"
"TVC","48","12","0","13","73"
"TOTAL CUSTODY POPULATION","3888","3181","2835","9403","19307"
"% OF TOTAL_offenses","20.14%","16.48%","14.68%","48.70%","100.00%"
"Intensive Supervison Program","330","395","7","91","823"
"Earned Release Supervision","44","34","11","486","575"
"Medical Release","8","1","0","4","13"
"Other Custody","162","174","26","125","487"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","2","2"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","0","1","3","2","6"
"TOTAL","4440","3800","2883","10120","21243"
"% OF TOTAL_offenses","20.90%","17.89%","13.57%","47.64%","100.00%"
