"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1154","1191","2216","4561"
"CMCF","1027","1068","927","3022"
"SMCI","702","635","834","2171"
"County Jails (approved)","731","623","172","1526"
"County Jails (unapproved)","74","85","26","185"
"Private Prisons","964","1194","2603","4761"
"Regional Correctional Facilities","907","591","1235","2733"
"Community Work Centers","1006","729","4","1739"
"Community Trusties","6","7","5","18"
"Pending File Review","88","171","44","303"
"TOTAL CUSTODY POPULATION","6659","6294","8066","21019"
"Intensive Supervison Program","551","923","27","1501"
"Earned Release Supervision","784","744","352","1880"
"Medical Release","2","1","2","5"
"Other Custody","105","103","59","267"
"At Large","34","59","14","107"
"Off-Grounds Medical (Hospital)","4","3","4","11"
"TOTAL","8139","8127","8524","24790"
"% OF TOTAL_offenses","32.83%","32.78%","34.38%","100.00%"
