"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","246","170","429","1,205","2,050"
"CMCF","800","811","366","1,421","3,398"
"SMCI","397","380","470","1,290","2,537"
"Youthful Offender Facility","0","3","1","15","19"
"County Jails (approved)","379","165","10","158","712"
"County Jails (unapproved)","197","225","24","119","565"
"Private Prisons","285","269","599","2,678","3,831"
"Regional Correctional Facilities","653","488","853","2,138","4,132"
"Community Work Centers","284","94","0","91","469"
"Community Trusties","0","0","0","0","0"
"Pending File Review","42","42","0","26","110"
"Court Order","59","67","12","51","189"
"Transitional Housing","3","7","0","3","13"
"RRP","28","26","0","9","63"
"TVC","41","7","0","14","62"
"TOTAL CUSTODY POPULATION","3,414","2,754","2,764","9,218","18,150"
"% OF TOTAL OFFENSES","18.81%","15.17%","15.23%","50.79%","100.00%"
"Intensive Supervison Program","335","451","15","105","906"
"Earned Release Supervision","26","29","6","475","536"
"Medical Release","8","1","0","8","17"
"Other Custody","167","161","28","118","474"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","1","1","3","5","10"
"TOTAL","3,959","3,411","2,817","9,940","20,126"
"% OF TOTAL OFFENSES","19.67%","16.95%","14.00%","49.39%","100.00%"
