"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","726","702","189","1204","514","3335"
"CMCF","690","764","121","676","279","2530"
"SMCI","622","760","172","1086","560","3200"
"County Jails (approved)","629","535","32","95","63","1354"
"Youthful Offender Facility","1","8","4","27","4","44"
"County Jails (unapproved)","29","61","4","13","5","112"
"Private Prisons","502","822","284","2039","648","4295"
"Regional Correctional Facilities","915","1024","331","1308","825","4403"
"Community Work Centers","686","444","0","2","0","1132"
"Community Trusties","9","4","0","0","0","13"
"Pending File Review","24","30","7","0","1","62"
"Court Order","90","94","6","36","15","241"
"TOTAL CUSTODY POPULATION","4923","5248","1150","6486","2914","20721"
"% OF TOTAL_offenses","23.76%","25.33%","5.55%","31.30%","14.06%","100.00%"
"Intensive Supervison Program","646","788","16","41","4","1495"
"Earned Release Supervision","414","435","179","363","3","1394"
"Medical Release","13","8","1","3","0","25"
"Other Custody","186","183","12","78","23","482"
"At Large","7","17","0","7","0","31"
"Off-Grounds Medical (Hospital)","0","1","2","3","1","7"
"TOTAL","6189","6680","1360","6981","2945","24155"
"% OF TOTAL_offenses","25.62%","27.66%","5.63%","28.90%","12.19%","100.00%"
