"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,232","1,080","1,998","4,310"
"CMCF","1,081","1,092","933","3,106"
"SMCI","696","608","774","2,078"
"County Jails (approved)","629","501","131","1,261"
"County Jails (unapproved)","18","22","9","49"
"Private Prisons","1,036","1,039","2,689","4,764"
"Regional Correctional Facilities","913","545","1,587","3,045"
"Community Work Centers","1,042","679","4","1,725"
"Community Trusties","8","6","6","20"
"Pending File Review","2","12","2","16"
"Court Order","134","145","53","332"
"TOTAL CUSTODY POPULATION","6,791","5,729","8,186","20,706"
"Intensive Supervison Program","607","982","42","1,631"
"Earned Release Supervision","736","717","337","1,790"
"Medical Release","5","3","3","11"
"Other Custody","112","121","71","304"
"At Large","34","77","20","131"
"Off-Grounds Medical (Hospital)","1","4","2","7"
