"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,264","1,439","2,486","5,189"
"CMCF","1,040","1,046","880","2,966"
"SMCI","643","745","699","2,087"
"County Jails (approved)","694","684","246","1,624"
"County Jails (unapproved)","44","48","15","107"
"Private Prisons","904","890","1,845","3,639"
"Regional Correctional Facilities","743","524","748","2,015"
"Community Work Centers","604","617","35","1,256"
"Community Trusties","10","8","4","22"
"CUSTODY POPULATION","5,946","6,001","6,958","18,905"
"Intensive Supervison Program","313","960","25","1,298"
"Earned Release Supervision","384","519","142","1,045"
"Medical Release","0","1","0","1"
"Other Custody","56","85","63","204"
"At Large","20","48","11","79"
"University of MS Medical Center","1","4","4","9"
"TOTAL","6,720","7,618","7,203","21,541"
"% of Total Offenses","31.20%","35.37%","33.44%","100.00%"
