"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1274","1497","2446","5217"
"CMCF","1022","1114","869","3005"
"SMCI","575","737","676","1988"
"County Jails (approved)","593","626","223","1442"
"County Jails (unapproved)","56","44","18","118"
"Private Prisons","875","799","1826","3500"
"Regional Correctional Facilities","738","544","765","2047"
"Community Work Centers","579","627","37","1243"
"Community Trusties","9","8","4","21"
"CUSTODY POPULATION","5721","5996","6864","18581"
"Intensive Supervison Program","333","868","24","1225"
"Earned Release Supervision","401","491","121","1013"
"Medical Release","0","1","0","1"
"Other Custody","57","94","59","210"
"At Large","20","49","39","78"
"University of MS Medical Center","1","2","3","6"
"TOTAL","6533","7501","7080","21114"
"% of Total Offenses","30.94%","35.53%","33.53%","100.00%"
