"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1191","933","1970","4094"
"CMCF","1155","1060","1180","3395"
"SMCI","1090","844","1161","3095"
"County Jails (approved)","756","349","83","1188"
"County Jails (unapproved)","117","126","48","291"
"Private Prisons","1067","1206","3210","5483"
"Regional Correctional Facilities","855","554","1518","2927"
"Community Work Centers","1144","525","1","1670"
"Community Trusties","7","5","6","18"
"Pending File Review","35","48","8","91"
"Court Order","115","112","62","289"
"TOTAL CUSTODY POPULATION","7532","5762","9247","22541"
"Intensive Supervison Program","426","738","30","1194"
"Earned Release Supervision","591","593","471","1655"
"Medical Release","19","12","5","36"
"Other Custody","120","121","85","326"
"At Large","12","27","10","49"
"Off-Grounds Medical (Hospital)","1","4","2","7"
