"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","720","633","1277","433","3063"
"CMCF","821","947","924","326","3018"
"SMCI","820","854","1064","452","3190"
"County Jails (approved)","744","460","49","19","1272"
"County Jails (unapproved)","168","174","54","12","408"
"Private Prisons","627","1063","2626","801","5117"
"Regional Correctional Facilities","797","749","1330","637","3513"
"Community Work Centers","925","541","5","0","1471"
"Community Trusties","5","5","5","0","15"
"Pending File Review","40","38","7","1","86"
"Court Order","153","150","64","15","382"
"TOTAL CUSTODY POPULATION","5820","5614","7405","2696","21535"
"Intensive Supervison Program","848","727","46","7","1628"
"Earned Release Supervision","445","512","621","4","1582"
"Medical Release","14","6","5","0","25"
"Other Custody","171","135","81","20","407"
"At Large","9","21","8","0","38"
"Off-Grounds Medical (Hospital)","3","1","3","3","10"
"TOTAL","7310","7016","8169","2730","25225"
"% OF TOTAL_offenses","28.98%","27.81%","32.38%","10.82%","100.00%"
