"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","769","590","1428","474","3261"
"CMCF","952","962","980","325","3219"
"SMCI","845","798","1111","421","3175"
"County Jails (approved)","669","417","44","25","1155"
"County Jails (unapproved)","86","90","17","14","207"
"Private Prisons","713","1128","2601","791","5233"
"Regional Correctional Facilities","655","616","1141","583","2995"
"Community Work Centers","981","528","7","0","1516"
"Community Trusties","5","3","5","0","13"
"Pending File Review","63","54","15","2","134"
"Court Order","100","85","52","12","249"
"TOTAL CUSTODY POPULATION","5838","5271","7401","2647","21157"
"Intensive Supervison Program","858","745","42","7","1652"
"Earned Release Supervision","355","483","606","3","1447"
"Medical Release","22","14","7","0","43"
"Other Custody","142","128","89","12","371"
"At Large","9","22","8","0","39"
"Off-Grounds Medical (Hospital)","1","1","5","2","9"
"TOTAL","7225","6664","8158","2671","24718"
"% OF TOTAL_offenses","29.23%","26.96%","33.00%","10.81%","100.00%"
