"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1327","1421","2554","5302"
"CMCF","1028","1044","863","2935"
"SMCI","636","702","707","2045"
"County Jails (approved)","638","600","231","1469"
"County Jails (unapproved)","52","44","23","119"
"Private Prisons","889","909","1790","3588"
"Regional Correctional Facilities","769","503","728","2000"
"Community Work Centers","625","629","31","1285"
"Community Trusties","9","9","5","23"
"CUSTODY POPULATION","5973","5861","6932","18766"
"Intensive Supervison Program","334","992","27","1353"
"Earned Release Supervision","352","503","136","991"
"Medical Release","0","0","0","0"
"Other Custody","53","83","66","202"
"At Large","19","49","10","78"
"University of MS Medical Center","3","1","2","6"
"TOTAL","6734","7489","7173","21396"
"% of Total Offenses","31.47%","35.00%","33.52%","100.00%"
