"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,309","1,029","2,151","4,489"
"CMCF","1,211","1,109","1,048","3,368"
"SMCI","909","732","940","2,581"
"County Jails (approved)","722","519","112","1,353"
"County Jails (unapproved)","62","54","29","145"
"Private Prisons","1,052","1,124","2,716","4,892"
"Regional Correctional Facilities","961","583","1,499","3,043"
"Community Work Centers","1,171","599","5","1,775"
"Community Trusties","7","5","5","17"
"Pending File Review","15","22","24","61"
"Court Order","148","129","58","335"
"TOTAL CUSTODY POPULATION","7,567","5,905","8,587","22,059"
"Intensive Supervison Program","475","671","29","1,175"
"Earned Release Supervision","690","588","377","1,655"
"Medical Release","4","2","3","9"
"Other Custody","136","108","72","316"
"At Large","22","45","18","85"
"Off-Grounds Medical (Hospital)","5","5","5","15"
