"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","607","553","168","1291","497","3116"
"CMCF","537","571","122","718","259","2207"
"SMCI","456","551","144","914","471","2536"
"County Jails (approved)","423","208","14","45","6","696"
"Youthful Offender Facility","0","0","3","13","5","21"
"County Jails (unapproved)","0","102","17","30","11","230"
"Private Prisons","454","511","284","1886","640","3775"
"Regional Correctional Facilities","754","791","364","1477","879","4265"
"Community Work Centers","710","396","3","15","0","1124"
"Community Trusties","11","2","0","0","0","13"
"Pending File Review","33","7","3","22","0","105"
"Court Order","80","78","12","40","7","217"
"TOTAL CUSTODY POPULATION","4135","3810","1134","6451","2775","18305"
"% OF TOTAL_offenses","22.59%","20.81%","6.20%","35.24%","15.16%","100.00%"
"Intensive Supervison Program","393","482","9","41","5","930"
"Earned Release Supervision","244","77","143","357","5","826"
"Medical Release","9","5","0","2","0","16"
"Other Custody","193","230","16","74","5","538"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","0","0","1","3","1","5"
"TOTAL","4980","4618","1303","6935","2811","20647"
"% OF TOTAL_offenses","24.12%","22.37%","6.31%","33.59%","13.62%","100.00%"
