"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1287","1119","2110","4516"
"CMCF","1190","1110","1017","3317"
"SMCI","766","652","863","2281"
"County Jails (approved)","710","488","134","1332"
"County Jails (unapproved)","55","58","10","123"
"Private Prisons","1061","1095","2684","4840"
"Regional Correctional Facilities","919","586","1568","3073"
"Community Work Centers","1131","623","0","1754"
"Community Trusties","8","3","5","16"
"Pending File Review","20","16","7","43"
"Court Order","115","160","67","342"
"TOTAL CUSTODY POPULATION","7262","5910","8465","21637"
"Intensive Supervison Program","548","897","38","1483"
"Earned Release Supervision","755","604","352","1711"
"Medical Release","4","2","3","9"
"Other Custody","130","108","72","310"
"At Large","37","67","25","129"
"Off-Grounds Medical (Hospital)","2","2","4","8"
