"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,475","1,308","2,597","5,380"
"CMCF","1,094","1,072","868","3,034"
"SMCI","662","685","683","2,030"
"County Jails (approved)","751","727","237","1,715"
"County Jails (unapproved)","92","106","30","228"
"Private Prisons","732","937","1,759","3,428"
"Regional Correctional Facilities","976","619","910","2,505"
"Community Work Centers","651","621","37","1,309"
"Community Trusties","6","6","5","17"
"CUSTODY POPULATION","6,439","6,081","7,126","19,646"
"Intensive Supervison Program","394","1,016","33","1,443"
"Earned Release Supervision","425","527","154","1,106"
"Medical Release","0","0","0","0"
"Other Custody","61","100","73","234"
"At Large","26","46","10","82"
"University of MS Medical Center","2","2","3","7"
"TOTAL","7,347","7,772","7,399","22,518"
"% of Total Offenses","32.63%","34.51%","32.86%","100.00%"
