"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","464","399","586","1967","3416"
"CMCF","1015","989","321","1345","3670"
"SMCI","518","485","536","1491","3030"
"Youthful Offender Facility","0","8","6","23","37"
"County Jails (approved)","407","175","8","160","750"
"County Jails (unapproved)","125","140","10","82","357"
"Private Prisons","270","284","569","2105","3228"
"Regional Correctional Facilities","588","463","800","1847","3698"
"Community Work Centers","368","142","0","141","651"
"Community Trusties","6","0","0","0","6"
"Pending File Review","65","41","4","29","139"
"Court Order","67","54","5","62","188"
"Transitional Housing","13","10","2","13","38"
"RRP","53","57","0","20","130"
"TVC","23","6","0","10","39"
"TOTAL CUSTODY POPULATION","3982","3253","2847","9295","19377"
"% OF TOTAL_offenses","20.55%","16.79%","14.69%","47.97%","100.00%"
"Intensive Supervison Program","292","366","8","78","744"
"Earned Release Supervision","94","46","8","457","605"
"Medical Release","10","1","0","3","14"
"Other Custody","143","163","24","115","445"
"At Large","7","12","0","7","26"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","0","0","5"
"Off-Grounds Medical (Hospital)","2","1","3","6","12"
"TOTAL","4532","3845","2891","9963","21231"
"% OF TOTAL_offenses","21.35%","18.11%","13.62%","46.93%","100.00%"
