"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","610","564","194","1440","548","3356"
"CMCF","664","790","152","882","295","2783"
"SMCI","490","600","171","1111","555","2927"
"County Jails (approved)","488","271","11","90","6","866"
"Youthful Offender Facility","0","2","5","20","5","32"
"County Jails (unapproved)","116","167","16","60","22","381"
"Private Prisons","498","560","269","1931","690","3948"
"Regional Correctional Facilities","610","625","273","1245","673","3426"
"Community Work Centers","637","295","0","51","0","983"
"Community Trusties","26","12","0","1","0","39"
"Pending File Review","38","55","2","10","2","107"
"Court Order","68","92","12","54","6","232"
"TOTAL CUSTODY POPULATION","4245","4033","1105","6895","2802","19080"
"% OF TOTAL_offenses","22.25%","21.14%","5.79%","36.14%","14.69%","100.00%"
"Intensive Supervison Program","348","370","7","50","6","781"
"Earned Release Supervision","268","66","141","350","4","829"
"Medical Release","6","4","0","2","0 2","12"
"Other Custody","176","221","16","84","6","523"
"At Large","6","15","0","6","0","27"
"Off-Grounds Medical (Hospital)","0","2","1","1","0","4"
"Conditional Release","0","0","0","2","0","2"
"TOTAL","5049","4711","1270","7390","2838","21258"
"% OF TOTAL_offenses","23.75%","22.16%","5.97%","34.77%","13.35%","100.00%"
