"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","554","590","182","1444","561","3331"
"CMCF","727","877","141","1097","317","3159"
"SMCI","500","583","196","1196","547","3022"
"County Jails (approved)","361","234","15","104","12","726"
"Youthful Offender Facility","0","1","2","23","4","30"
"County Jails (unapproved)","83","139","14","45","16","297"
"Private Prisons","261","363","210","1664","560","3058"
"Regional Correctional Facilities","673","781","324","1524","796","4098"
"Community Work Centers","444","236","0","76","0","756"
"Community Trusties","26","6","0","1","0","33"
"Pending File Review","21","30","3","11","2","67"
"Court Order","47","73","7","54","11","192"
"TVC","2","0","0","1","0","3"
"TOTAL CUSTODY POPULATION","3699","3913","1094","7240","2826","18772"
"% OF TOTAL_offenses","19.70%","20.84%","5.83%","38.57%","15.05%","100.00%"
"Intensive Supervison Program","297","368","13","62","5","745"
"Earned Release Supervision","131","36","111","285","6","569"
"Medical Release","6","5","0","2","0","13"
"Other Custody","162","204","13","91","23","493"
"At Large","7","15","0","6","0","28"
"Transitional Housing","0","1","0","0","0","1"
"Conditional Release","0","0","0","2","0","2"
"RRP","4","14","0","9","0","27"
"Off-Grounds Medical (Hospital)","1","3","1","1","2","8"
"TOTAL","4307","4559","1232","7698","2862","20658"
"% OF TOTAL_offenses","20.85%","22.07%","5.96%","37.27%","13.85%","100.00%"
