"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","419","363","573","1909","3264"
"CMCF","1019","970","321","1432","3742"
"SMCI","557","482","554","1460","3053"
"Youthful Offender Facility","0","8","2","26","36"
"County Jails (approved)","354","154","8","146","662"
"County Jails (unapproved)","73","120","13","74","280"
"Private Prisons","258","267","551","2115","3191"
"Regional Correctional Facilities","616","453","793","1892","3754"
"Community Work Centers","377","146","0","124","647"
"Community Trusties","8","0","0","1","9"
"Pending File Review","36","44","8","34","122"
"Court Order","73","60","6","68","207"
"Transitional Housing","7","7","1","10","25"
"RRP","29","41","0","11","81"
"TVC","39","10","0","14","63"
"TOTAL CUSTODY POPULATION","3865","3125","2830","9316","19136"
"% OF TOTAL_offenses","20.20%","16.33%","14.79%","48.68%","100.00%"
"Intensive Supervison Program","308","366","10","87","771"
"Earned Release Supervision","48","32","10","490","580"
"Medical Release","13","1","0","2","16"
"Other Custody","154","173","24","116","467"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","2","2","1","6","11"
"TOTAL","4399","3713","2877","10026","21015"
"% OF TOTAL_offenses","20.93%","17.67%","13.69%","47.71%","100.00%"
