"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1241","1117","1982","4340"
"CMCF","1020","1015","929","2964"
"SMCI","692","589","836","2117"
"County Jails (approved)","546","428","90","1064"
"County Jails (unapproved)","0","2","1","3"
"Private Prisons","1030","1049","2703","4782"
"Regional Correctional Facilities","909","551","1555","3015"
"Community Work Centers","1062","712","5","1779"
"Community Trusties","11","5","5","21"
"Pending File Review","16","21","7","44"
"Court Order","128","134","42","304"
"TOTAL CUSTODY POPULATION","6655","5623","8155","20433"
"Intensive Supervison Program","588","953","42","1583"
"Earned Release Supervision","750","756","333","1839"
"Medical Release","5","3","3","11"
"Other Custody","110","123","72","305"
"At Large","31","73","19","123"
"Off-Grounds Medical (Hospital)","3","1","2","6"
