"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,301","1,477","2,487","5,265"
"CMCF","1,000","1,094","854","2,948"
"SMCI","644","794","703","2,141"
"County Jails (approved)","668","626","248","1,542"
"County Jails (unapproved)","39","50","29","118"
"Private Prisons","865","816","1,827","3,508"
"Regional Correctional Facilities","756","523","777","2,056"
"Community Work Centers","596","639","38","1,273"
"Community Trusties","10","9","5","24"
"CUSTODY POPULATION","5,879","6,028","6,968","18,875"
"Intensive Supervison Program","310","915","19","1,244"
"Earned Release Supervision","363","487","133","983"
"Medical Release","0","1","0","1"
"Other Custody","54","91","63","208"
"At Large","20","55","10","85"
"University of MS Medical Center","2","0","3","5"
"TOTAL","6,628","7,577","7,196","21,401"
"% of Total Offenses","30.97%","35.40%","33.62%","100.00%"
