"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","635","590","174","1434","540","3373"
"CMCF","807","927","152","987","303","3176"
"SMCI","524","603","186","1113","558","2984"
"County Jails (approved)","482","283","14","91","11","881"
"Youthful Offender Facility","0","0","6","20","4","30"
"County Jails (unapproved)","108","163","12","65","18","366"
"Private Prisons","430","487","267","1910","676","3770"
"Regional Correctional Facilities","618","628","279","1311","699","3535"
"Community Work Centers","548","269","0","68","0","885"
"Community Trusties","28","15","0","4","0","47"
"Pending File Review","52","44","4","6","1","107"
"Court Order","87","110","14","52","7","270"
"TOTAL CUSTODY POPULATION","4319","4119","1108","7061","2817","19424"
"% OF TOTAL_offenses","22.24%","21.21%","5.70%","36.35%","14.50%","100.00%"
"Intensive Supervison Program","309","325","9","50","7","700"
"Earned Release Supervision","216","51","126","310","4","707"
"Medical Release","7","4","0","3","0","14"
"Other Custody","180","226","16","88","25","535"
"At Large","","14","0","6","0","26"
"Transitional Housing","","3","0","0","0","3"
