"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","767","686","1,362","470","3,285"
"CMCF","853","999","959","308","3,119"
"SMCI","746","826","1,135","469","3,176"
"County Jails (approved)","699","508","44","24","1,275"
"County Jails (unapproved)","191","282","83","26","582"
"Private Prisons","423","808","2,303","653","4,187"
"Regional Correctional Facilities","945","1,007","1,535","765","4,252"
"Community Work Centers","964","585","6","0","1,555"
"Community Trusties","6","4","0","0","10"
"Pending File Review","21","29","15","2","67"
"Court Order","141","161","77","14","393"
"TOTAL CUSTODY POPULATION","5,756","5,895","7,519","2,731","21,901"
"Intensive Supervison Program","785","708","48","8","1,549"
"Earned Release Supervision","473","542","599","5","1,619"
"Medical Release","13","4","5","0","22"
"Other Custody","190","153","79","16","438"
"At Large","8","23","7","0","38"
"Off-Grounds Medical (Hospital)","1","1","2","1","5"
"TOTAL","7,226","7,326","8,259","2,761","25,572"
"% OF TOTAL_offenses","28.26%","28.65%","32.30%","10.80%","100.00%"
