"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","770","774","159","1185","481","3369"
"CMCF","905","1108","168","793","310","3284"
"SMCI","688","772","182","1028","537","3207"
"Youthful Offender Facility","0","4","1","18","5","28"
"County Jails (approved)","750","630","20","62","35","1497"
"County Jails (unapproved)","175","253","21","61","22","532"
"Private Prisons","496","861","284","2062","604","4307"
"Regional Correctional Facilities","967","1104","308","1186","794","4359"
"Community Work Centers","926","612","1","4","0","1543"
"Community Trusties","7","6","0","0","0","13"
"Pending File Review","8","9","2","4","0","53"
"Court Order","137","134","5","45","16","337"
"TOTAL CUSTODY POPULATION","5849","6277","1151","6448","2804","22529"
"% OF TOTAL_offenses","25.96%","27.86%","5.11%","28.62%","12.45%","100.00%"
"Intensive Supervison Program","737","804","17","44","6","1608"
"Earned Release Supervision","505","563","196","395","7","1666"
"Medical Release","12","8","2","5","0","27"
"Other Custody","206","172","12","68","2","480"
"At Large","7","19","0","7","0","33"
"Off-Grounds Medical (Hospital)","2","6","0","4","0","12"
"TOTAL","7318","7849","1378","6971","2839","26355"
"% OF TOTAL_offenses","27.77%","29.78%","5.23%","26.45%","10.77%","100.00%"
