"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,427","1,337","2,889","5,653"
"CMCF","1,045","1,052","988","3,085"
"SMCI","683","743","727","2,153"
"County Jails (approved)","821","780","269","1,870"
"County Jails (unapproved)","76","107","45","228"
"Private Prisons","624","851","1,903","3,378"
"Regional Correctional Facilities","860","565","1,071","2,496"
"Community Work Centers","710","595","16","1,321"
"Community Trusties","8","6","5","19"
"CUSTODY POPULATION","6,254","6,036","7,913","20,203"
"Intensive Supervison Program","480","998","40","1,518"
"Earned Release Supervision","397","526","194","1,117"
"Medical Release","0","0","0","0"
"Other Custody","69","99","73","241"
"At Large","26","60","15","101"
"University of MS Medical Center","5","3","0","8"
"TOTAL","7,231","7,722","8,235","23,188"
"% of Total Offenses","31.18%","33.30%","35.51%","100.00%"
