"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,218","964","1,935","4,117"
"CMCF","1,245","1,102","1,201","3,548"
"SMCI","1,103","860","1,143","3,106"
"County Jails (approved)","714","337","89","1,140"
"County Jails (unapproved)","97","110","38","245"
"Private Prisons","1,079","1,198","3,169","5,446"
"Regional Correctional Facilities","918","510","1,478","2,906"
"Community Work Centers","1,157","551","0","1,708"
"Community Trusties","7","4","0 6","17"
"Pending File Review","73","82","21","176"
"Court Order","125","142","81","348"
"TOTAL CUSTODY POPULATION","7,736","5,860","9,161","22,757"
"Intensive Supervison Program","446","664","30","1,140"
"Earned Release Supervision","651","637","482","1,770"
"Medical Release","19","12","5","36"
"Other Custody","123","114","80","317"
"At Large","15","27","10","52"
"Off-Grounds Medical (Hospital)","4","2","3","9"
