"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1200","904","2086","4190"
"CMCF","1329","1152","1190","3671"
"SMCI","1206","842","1070","3118"
"County Jails (approved)","748","515","154","1417"
"County Jails (unapproved)","71","90","30","191"
"Private Prisons","1015","1000","2776","4791"
"Regional Correctional Facilities","1034","572","1464","3070"
"Community Work Centers","1152","538","1","1691"
"Community Trusties","9","4","6","19"
"Pending File Review","146","98","7","251"
"Court Order","153","142","62","357"
"TOTAL CUSTODY POPULATION","8063","5857","8846","22766"
"Intensive Supervison Program","487","639","30","1156"
"Earned Release Supervision","757","627","408","1792"
"Medical Release","10","6","5","21"
"Other Custody","123","102","80","305"
"At Large","19","32","12","63"
"Off-Grounds Medical (Hospital)","1","2","1","4"
