"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","336","266","501","1,629","2,732"
"CMCF","843","888","358","1,365","3,454"
"SMCI","434","394","487","1,330","2,645"
"Youthful Offender Facility","0","4","1","15","20"
"County Jails (approved)","384","170","5","158","717"
"County Jails (unapproved)","125","172","19","102","418"
"Private Prisons","282","272","547","2,356","3,457"
"Regional Correctional Facilities","700","585","860","2,220","4,365"
"Community Work Centers","333","122","0","99","554"
"Community Trusties","0","0","0","0","0"
"Pending File Review","42","36","1","22","101"
"Court Order","78","75","16","66","235"
"Transitional Housing","4","2","0","2","8"
"RRP","33","25","0","11","69"
"TVC","45","12","0","14","71"
"TOTAL CUSTODY POPULATION","3,639","3,023","2,795","9,389","18,846"
"% OF TOTAL OFFENSES","19.31%","16.04%","14.83%","49.82%","100.00%"
"Intensive Supervison Program","356","431","15","99","901"
"Earned Release Supervision","38","33","8","455","534"
"Medical Release","8","1","0","8","17"
"Other Custody","164","160","30","115","469"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","2","4","3","7","16"
"TOTAL","4,215","3,666","2,852","10,083","20,816"
"% OF TOTAL OFFENSES","20.25%","17.61%","13.70%","48.44%","100.00%"
