"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","743","712","1310","483","3248"
"CMCF","804","1032","883","325","3044"
"SMCI","787","876","1048","443","3154"
"County Jails (approved)","766","495","44","21","1326"
"County Jails (unapproved)","162","249","74","31","516"
"Private Prisons","466","876","2189","655","4186"
"Regional Correctional Facilities","979","1084","1440","742","4245"
"Community Work Centers","913","537","4","0","1454"
"Community Trusties","7","5","0","0","12"
"Pending File Review","18","26","9","1","54"
"Court Order","133","154","74","19","380"
"TOTAL CUSTODY POPULATION","5778","6046","7075","2720","21619"
"Intensive Supervison Program","828","735","38","8","1609"
"Earned Release Supervision","469","596","529","6","1600"
"Medical Release","14","5","5","0","24"
"Other Custody","186","155","78","15","434"
"At Large","8","23","7","0","38"
"Off-Grounds Medical (Hospital)","1","3","2","4","10"
"TOTAL","7284","7563","7734","2753","25334"
"% OF TOTAL_offenses","28.75%","29.85%","30.53%","10.87%","100.00%"
