"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","782","765","160","1199","492","3398"
"CMCF","865","1068","191","830","346","3300"
"SMCI","671","820","171","1031","533","3226"
"County Jails (approved)","779","647","24","68","33","1551"
"Youthful Offender Facility","0","6","0","22","5","33"
"County Jails (unapproved)","166","192","21","48","19","446"
"Private Prisons","495","912","280","2025","594","4306"
"Regional Correctional Facilities","971","1123","320","1207","799","4420"
"Community Work Centers","902","587","2","4","0","1495"
"Community Trusties","7","3","0","0","0","10"
"Pending File Review","43","31","2","0","4","80"
"Court Order","146","149","7","45","14","361"
"TOTAL CUSTODY POPULATION","5827","6303","1178","6479","2839","22626"
"% OF TOTAL_offenses","25.75%","27.86%","5.21%","28.64%","12.55%","100.00%"
"Intensive Supervison Program","729","826","15","47","7","1624"
"Earned Release Supervision","509","581","191","389","5","1675"
"Medical Release","11","7","1","5","0","24"
"Other Custody","203","177","10","74","3","487"
"At Large","7","18","0","7","0","32"
"Off-Grounds Medical (Hospital)","5","4","1","1","1","12"
"TOTAL","7291","7916","1396","7002","2875","26480"
"% OF TOTAL_offenses","27.53%","29.90%","5.27%","26.44%","10.86%","100.00%"
