"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,200","946","1,956","4,102"
"CMCF","1,175","1,091","1,198","3,464"
"SMCI","1,113","841","1,131","3,085"
"County Jails (approved)","703","321","68","1,092"
"County Jails (unapproved)","120","132","64","316"
"Private Prisons","1,080","1,189","3,202","5,471"
"Regional Correctional Facilities","898","527","1,507","2,932"
"Community Work Centers","1,178","548","0","1,726"
"Community Trusties","7","4","6","17"
"Pending File Review","52","58","16","126"
"Court Order","105","128","63","296"
"TOTAL CUSTODY POPULATION","7,631","5,785","9,211","22,627"
"Intensive Supervison Program","436","709","27","1,172"
"Earned Release Supervision","630","627","491","1,748"
"Medical Release","19","12","5","36"
"Other Custody","122","119","79","320"
"At Large","12","27","10","49"
"Off-Grounds Medical (Hospital)","4","2","4","10"
