"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","761","773","169","1,174","493","3,370"
"CMCF","921","1,050","164","813","334","3,282"
"SMCI","676","827","175","1,026","523","3,227"
"County Jails (approved)","757","645","25","63","24","1,514"
"Youthful Offender Facility","0","6","1","27","4","38"
"County Jails (unapproved)","185","219","16","30","27","477"
"Private Prisons","526","918","290","2,043","615","4,392"
"Regional Correctional Facilities","950","1,117","311","1,253","804","4,435"
"Community Work Centers","840","556","2","3","0","1,401"
"Community Trusties","7","3","0","0","0","10"
"Pending File Review","20","19","0","2","0","41"
"Court Order","110","116","14","40","14","294"
"TOTAL CUSTODY POPULATION","5,753","6,249","1,167","6,474","2,838","22,481"
"% OF TOTAL OFFENSES","25.59%","27.80%","5.19%","28.80%","12.62%","100.00%"
"Intensive Supervison Program","691","826","13","44","7","1,581"
"Earned Release Supervision","473","570","193","386","9","1,631"
"Medical Release","11","6","1","5","0","23"
"Other Custody","202","166","12","72","22","474"
"At Large","7","17","0","7","0","31"
"Off-Grounds Medical (Hospital)","3","3","0","1","0","7"
"TOTAL","7,140","7,837","1,386","6,989","2,876","26,228"
"% OF TOTAL OFFENSES","27.22%","29.88%","5.28%","26.65%","10.97%","100.00%"
