"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","632","556","187","1,446","529","3,350"
"CMCF","649","778","147","894","308","2,776"
"SMCI","519","632","179","1,117","552","2,999"
"County Jails (approved)","486","252","17","95","8","858"
"Youthful Offender Facility","0","2","5","20","5","32"
"County Jails (unapproved)","109","164","13","67","12","365"
"Private Prisons","494","533","269","1,926","698","3,920"
"Regional Correctional Facilities","593","608","278","1,264","678","3,421"
"Community Work Centers","611","281","","53","0","945"
"Community Trusties","29","17","","4","0","50"
"Pending File Review","43","36","3","7","2","91"
"County Jail","0","1","0","0","0","1"
"Conditional Release","0","0","0","2","0","2"
"Court Order","95","120","14","63","9","301"
"TOTAL CUSTODY POPULATION","4,260","3,980","1,112","6,958","2,801","19,111"
"% OF TOTAL_offenses","22.29%","20.83%","5.82%","36.41%","14.66%","100.00%"
"Intensive Supervison Program","340","333","9","49","6","737"
"Earned Release Supervision","258","62","139","333","5","797"
"Medical Release","6","4","0","4","0","14"
"Other Custody","177","219","17","87","7","527"
"At Large","6","15","0","6","0","27"
"Transitional Housing","0","2","0","0","0","2"
"Off-Grounds Medical (Hospital)","2","2","1","3","1","9"
"TOTAL","5,049","4,617","1,278","7,440","2,840","]21,224"
