"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","600","569","183","1289","489","3130"
"CMCF","543","587","116","712","250","2208"
"SMCI","443","566","119","826","446","2400"
"County Jails (approved)","584","322","11","54","24","995"
"Youthful Offender Facility","1","1","4","15","3","24"
"County Jails (unapproved)","7","166","13","37","18","321"
"Private Prisons","476","603","294","1955","660","3988"
"Regional Correctional Facilities","739","782","373","1461","874","4229"
"Community Work Centers","648","391","1","5","0","1045"
"Community Trusties","8","0","0","0","0","8"
"Pending File Review","6","14","2","4","3","29"
"Court Order","67","92","10","37","11","217"
"TOTAL CUSTODY POPULATION","4202","4093","1126","6395","2778","18594"
"% OF TOTAL_offenses","22.60%","22.01%","6.06%","34.39%","14.94%","100.00%"
"Intensive Supervison Program","521","660","14","36","5","1236"
"Earned Release Supervision","259","122","159","374","5","919"
"Medical Release","9","6","0","2","0","17"
"Other Custody","196","223","15","75","6","535"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","1","2","0","1","1","5"
"TOTAL","5194","5120","1314","6890","2815","21333"
"% OF TOTAL_offenses","24.35%","24.00%","6.16%","32.30%","13.20%","100.00%"
