"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","799","742","1,286","463","3,290"
"CMCF","829","1,064","896","310","3,099"
"SMCI","762","901","1,065","465","3,193"
"County Jails (approved)","673","516","38","26","1,253"
"County Jails (unapproved)","181","251","69","30","531"
"Private Prisons","449","895","2,297","661","4,302"
"Regional Correctional Facilities","982","1,208","1,388","780","4,358"
"Community Work Centers","1,006","593","4","0","1,603"
"Community Trusties","7","4","0","0","11"
"Pending File Review","31","41","15","4","91"
"Court Order","101","126","55","18","300"
"TOTAL CUSTODY POPULATION","5,820","6,341","7,113","2,757","22,031"
"Intensive Supervison Program","809","759","40","9","1,617"
"Earned Release Supervision","478","567","555","5","1,605"
"Medical Release","11","5","6","0","22"
"Other Custody","196","160","73","17","446"
"At Large","7","22","7","0","36"
"Off-Grounds Medical (Hospital)","1","7","4","2","14"
"TOTAL","7,322","7,861","7,798","2,790","25,771"
"% OF TOTAL_offenses","28.41%","30.50%","30.26%","10.83%","100.00%"
