"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","759","631","1,375","478","3,243"
"CMCF","817","925","901","321","2,964"
"SMCI","777","821","1,104","444","3,146"
"County Jails (approved)","799","509","50","19","1,377"
"County Jails (unapproved)","128","212","54","21","415"
"Private Prisons","452","796","2,256","659","4,163"
"Regional Correctional Facilities","944","980","1,584","756","4,264"
"Community Work Centers","841","500","4","0","1,345"
"Community Trusties","7","6","0","0","13"
"Pending File Review","57","62","9","3","131"
"Court Order","120","145","66","16","347"
"TOTAL CUSTODY POPULATION","5,701","5,587","7,403","2,717","21,408"
"Intensive Supervison Program","831","742","51","8","1,632"
"Earned Release Supervision","468","549","617","6","1,640"
"Medical Release","12","6","4","0","22"
"Other Custody","184","148","80","18","430"
"At Large","8","22","8","0","38"
"Off-Grounds Medical (Hospital)","4","5","5","3","17"
"TOTAL","7,208","7,059","8,168","2,752","25,187"
"% OF TOTAL_offenses","28.62%","28.03%","32.43%","10.93%","100.00%"
